                              en  en_perso  en_nopunctuation      en_avg      fr  fr_perso      es      de      se    full_avg
Colemak DHk\r              67.26     66.94             66.04   66.746667   67.59     67.63   66.75   66.39   67.34   66.967333
Colemak DHm\r              67.41     67.07             66.18   66.886667   67.83     67.90   66.98   66.49   67.23   67.090333
The-1\r                    67.51     66.02             66.58   66.703333   73.03     72.83   72.43   69.78   71.37   70.642667
ISRT\r                     67.78     67.59             66.57   67.313333   68.46     68.03   66.02   66.92   68.18   67.335667
Soul mod\r                 68.40     68.23             67.15   67.926667   69.90     69.29   68.28   66.21   68.66   68.134333
x1\r                       68.53     68.05             67.70   68.093333   71.67     71.75   71.67   69.57   70.32   70.272667
MTGAP Mod1\r               68.64     67.75             68.10   68.163333   71.89     72.64   72.12   70.48   69.75   70.555667
MTGAP Mod2\r               68.65     67.74             67.98   68.123333   72.01     72.58   71.88   70.16   69.69   70.429667
MTGAP\r                    68.66     67.75             67.98   68.130000   72.16     72.73   71.88   70.16   69.69   70.461000
Hieamtsrn\r                68.83     68.40             68.34   68.523333   73.02     72.69   72.24   69.48   70.61   70.741667
Arensito\r                 68.91     68.53             67.85   68.430000   68.96     67.99   69.00   69.25   70.65   69.161000
White\r                    68.93     67.97             67.96   68.286667   74.17     74.61   71.83   70.98   72.87   71.671333
MTGAP 2.0\r                68.97     69.14             67.72   68.610000   69.15     68.35   68.84   69.70   71.36   69.452000
MTGAP "standard"\r         69.00     68.86             67.77   68.543333   68.98     69.03   67.23   69.62   67.88   68.455667
MTGAP "ergonomic"\r        69.04     68.89             68.04   68.656667   70.43     70.44   69.56   70.13   70.82   69.920333
MTGAP "shortcuts"\r        69.26     69.24             68.03   68.843333   69.47     69.26   67.03   69.09   69.08   68.681667
Kaehi\r                    69.31     68.41             68.13   68.616667   71.17     70.48   71.11   70.60   71.58   70.546333
ISRT angle mod\r           69.39     69.19             68.20   68.926667   69.46     68.97   67.50   68.79   70.29   68.944333
Workman\r                  69.39     69.13             68.23   68.916667   72.20     72.17   70.42   69.85   71.47   70.568333
Oneproduct\r               69.42     69.01             68.90   69.110000   70.98     70.97   71.23   70.58   71.22   70.623000
Engram 2.0/Engram Mod\r    69.43     68.19             68.73   68.783333   72.58     72.67   71.76   73.36   73.68   72.041667
Capewell\r                 69.46     69.59             68.40   69.150000   68.78     67.70   68.90   70.10   70.30   69.338000
Capewell Mod\r             69.48     69.52             68.43   69.143333   68.91     67.88   68.94   70.04   70.21   69.345667
