                              en  en_perso  en_nopunctuation      en_avg      fr  fr_perso      es      de      se    full_avg
MTGAP Mod2\r               64.45     63.13             63.63   63.736667   66.43     66.52   66.14   67.15   67.38   66.176333
MTGAP\r                    64.48     63.16             63.63   63.756667   66.72     66.82   66.14   67.15   67.38   66.239333
BEAKL 19bis\r              64.51     63.46             63.81   63.926667   65.42     64.62   64.45   67.92   69.00   66.063333
MTGAP Mod1\r               64.57     63.31             63.86   63.913333   67.02     67.39   67.09   67.54   67.47   66.643667
Engram 2.0/Engram Mod\r    64.58     63.31             63.61   63.833333   67.95     67.72   66.52   69.11   69.47   67.353667
Colemak DHm\r              64.66     64.30             63.44   64.133333   64.82     64.81   64.18   64.70   68.16   65.197667
The-1\r                    64.80     63.19             63.32   63.770000   69.74     69.45   68.97   67.54   70.26   68.027000
Hieamtsrn\r                64.90     64.09             64.31   64.433333   67.07     66.37   65.86   67.24   68.30   66.510667
MTGAP 2.0\r                64.91     64.43             63.29   64.210000   64.13     63.27   64.01   64.98   66.77   64.734000
MTGAP "ergonomic"\r        64.99     64.95             63.66   64.533333   66.20     66.25   64.81   66.23   66.72   65.703667
White\r                    65.10     63.99             64.18   64.423333   70.50     71.32   68.09   66.50   69.55   67.894667
Kaehi\r                    65.56     64.18             64.33   64.690000   66.59     66.14   65.92   67.83   67.94   66.549000
Arensito\r                 65.60     65.15             64.65   65.133333   65.52     64.74   66.05   65.64   68.90   66.170667
x1\r                       65.63     64.86             64.79   65.093333   66.86     66.89   66.28   68.03   67.91   66.837667
Colemak DHk\r              65.71     65.28             64.51   65.166667   66.29     66.26   65.67   65.43   68.46   66.200333
Capewell Mod\r             65.83     65.55             64.54   65.306667   65.81     65.01   65.80   66.87   67.62   66.201333
Workman\r                  65.83     65.50             64.65   65.326667   68.30     68.11   66.85   66.93   71.31   67.724333
MTGAP "standard"\r         65.84     65.24             64.52   65.200000   65.41     64.89   64.43   66.78   66.74   65.660000
Soul mod\r                 65.89     65.52             64.67   65.360000   66.25     65.83   64.71   64.38   68.37   65.772000
